,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
TAF8,916.9214876123696,-0.05171741467438895,0.110854905027948,-0.46653248822278365,0.6408343984558855,0.844792627265776,TAF8
MAP3K6,900.6958799778519,-0.05640701928032723,0.12100238594276257,-0.4661645209790267,0.6410977427032827,0.8450560769931306,MAP3K6
DNAJB1,4279.11862180005,0.03615242331200363,0.07756700717208541,0.46607990471771166,0.6411583066726123,0.8450560769931306,DNAJB1
FRMPD3,42.139155774491506,-0.1715455408943132,0.3686139784019473,-0.46537991217266045,0.6416594169255496,0.8452258979671982,FRMPD3
ZNRD2,316.9981021630286,0.07226588562523971,0.15519042006702494,0.4656594498167407,0.6414592820883701,0.8452258979671982,ZNRD2
SWT1,136.26738638472128,-0.09310116764574446,0.199950567823626,-0.46562092150629886,0.6414868648655652,0.8452258979671982,SWT1
ZNF107,351.6878220345829,0.0817913227766602,0.17561746409421225,0.4657357011645618,0.6414046944953464,0.8452258979671982,ZNF107
MIR222HG,819.2923202380366,0.0515060642497413,0.11063921135674229,0.465531737058993,0.6415507147424784,0.8452258979671982,MIR222HG
OXNAD1,177.55835488516027,0.08640044561340772,0.1856394024490111,0.4654208345512156,0.6416301169418444,0.8452258979671982,OXNAD1
PLPBP,1024.0279455142902,-0.04845941326832462,0.10414962022549648,-0.4652865095753988,0.6417262942726407,0.8452322640313434,PLPBP
ABT1,702.1142864252705,-0.055400566107569216,0.119103717206967,-0.4651455672982853,0.6418272160857967,0.8452834652684463,ABT1
CLCN5,277.1580176049168,-0.06935697392159608,0.14914998326104434,-0.46501496282575205,0.6419207414133581,0.8453249164112303,CLCN5
NEU1,492.792686191935,0.05835627078496332,0.12553708390964857,0.46485284640643265,0.6420368402180999,0.845396082958745,NEU1
CRLS1,592.854178340814,-0.059706286367239424,0.1284752611436821,-0.464729830752911,0.6421249430577309,0.8454131971632292,CRLS1
HSDL1,932.964649523476,-0.04606653403338877,0.09914000562452034,-0.4646614022583343,0.6421739531854287,0.8454131971632292,HSDL1
LINC01106,110.33276710334775,-0.09598517911077326,0.20670138515326553,-0.4643664048966188,0.642385255203257,0.8454535902072664,LINC01106
ENSG00000253106,23.145228884362144,0.20656525706285586,0.4447321302405726,0.4644711794291022,0.6423102035211153,0.8454535902072664,ENSG00000253106
SHF,40.62390792593036,-0.16196391603658397,0.3487905732644734,-0.4643586393998483,0.6423908178988046,0.8454535902072664,SHF
ABR,2310.975360391356,0.04675434210450519,0.10074477521728728,0.4640870159635076,0.6425854038375549,0.8455463108740473,ABR
ARID1B,1521.1298104007944,-0.051550537129586356,0.11107290980672171,-0.46411440214620825,0.6425657837774329,0.8455463108740473,ARID1B
REPIN1,2150.1430596205337,-0.037023295414659096,0.07980045555872711,-0.4639484217908097,0.6426846995574007,0.8455952928404935,REPIN1
PTPRA,1838.9636915045994,-0.039025877839246416,0.08419077514635398,-0.46354102063326225,0.6429766188601991,0.8458976802252527,PTPRA
FDX1,341.5765342636128,0.07170017655957292,0.15474035241406117,0.4633579763843007,0.6431077953738453,0.8459291255917307,FDX1
MAFF,999.8264974152135,0.1881729398817731,0.40612773700854926,0.4633343717614932,0.643124712159844,0.8459291255917307,MAFF
CUZD1,23.284034010822086,0.21011138625688638,0.4537540948031848,0.46305121796867066,0.6433276551391962,0.8461143701449382,CUZD1
SNX4,412.92063628994515,0.05875462889800888,0.12698987414811155,0.462671762549208,0.6435996614809301,0.8461509575994691,SNX4
TPP2,1231.5739419108706,0.04853612502781774,0.10488966340022082,0.46273506325043234,0.6435542821003357,0.8461509575994691,TPP2
RAPGEF2,1258.3055780544703,-0.0691582805542829,0.149533826908412,-0.4624925475667902,0.6437281453836085,0.8461509575994691,RAPGEF2
TIMM9,270.27485889828034,-0.07245384361157792,0.1565850340227232,-0.4627124428830383,0.6435704981703065,0.8461509575994691,TIMM9
HPSE,303.6744364402166,0.06996342500690053,0.15125943418512408,0.4625392484363876,0.6436946632840406,0.8461509575994691,HPSE
NINL,408.9170057898754,-0.06410195929670708,0.1385795886705446,-0.46256421967813277,0.6436767604965485,0.8461509575994691,NINL
CD81,4641.042024505731,-0.0342542153338411,0.0740985952396879,-0.46227887617894037,0.6438813459013197,0.8462706777823134,CD81
GPR3,78.71738776655046,0.11787396895421307,0.25505637842773154,0.46214868132620274,0.6439747018930573,0.8463117271743315,GPR3
EIF2B5,1273.4008445790578,0.04286119813066182,0.09279715932999416,0.46188049763726013,0.6441670202401573,0.84648281245603,EIF2B5
XPO5,1974.6022581279794,0.04453673538064981,0.09646133553631564,0.46170556454593853,0.6442924800930443,0.8464843722931374,XPO5
SPIN1,1779.4450991385813,0.043401893069106835,0.09399478004098795,0.4617479082368269,0.6442621107911451,0.8464843722931374,SPIN1
NBPF3,373.64670147010924,-0.061274725082760904,0.13276696122800574,-0.4615208822738022,0.6444249429343192,0.8465767596522884,NBPF3
ENSG00000270696,146.2063542152965,-0.09662022219049776,0.2094033109925542,-0.4614073279573565,0.6445063950547485,0.8466021232119216,ENSG00000270696
ZNF814,61.021796996289396,-0.13093664808729702,0.2838311111352953,-0.4613188722108858,0.644569847014429,0.8466038397490905,ZNF814
DHDH,146.53562298298678,-0.11897263979717138,0.2581699704182628,-0.4608306675033624,0.6449200974638505,0.8469557068430402,DHDH
HDAC4,1263.8095722947146,-0.04379061653533718,0.09505533873752987,-0.46068550296005323,0.6450242573953272,0.8469557068430402,HDAC4
WBP2,4098.656157722864,-0.04184163256813206,0.09081894209273766,-0.4607148201022474,0.6450032209015024,0.8469557068430402,WBP2
CCDC126,118.44589646557552,0.11949528231965592,0.25951792871535595,0.4604509711955992,0.6451925557171587,0.847095044962881,CCDC126
CSTF2,491.2682490623588,-0.05451144601793071,0.11842870747790911,-0.4602891239702072,0.6453087067316248,0.8471658968685482,CSTF2
TMEM38B,318.59596910675253,0.07008503309839638,0.15239354403779137,0.45989502731832466,0.6455915696723055,0.847287913093346,TMEM38B
VPS4A,1440.846783556748,-0.0422645427788051,0.09187046905306247,-0.4600449220999838,0.6454839766227798,0.847287913093346,VPS4A
PDSS1,190.5236482176143,0.08466157423188309,0.18412173888317876,0.45981302775767835,0.6456504313163051,0.847287913093346,PDSS1
ZFAND5,3267.999936112636,-0.04587201233364348,0.09973737028280208,-0.4599280310236261,0.6455678792894994,0.847287913093346,ZFAND5
FCHO2,980.945888917019,-0.045477243488599516,0.09893943739216225,-0.4596472820877604,0.6457694151036855,0.8473624293929404,FCHO2
C11orf54,664.4639447829876,0.06077266268124115,0.1324414609097356,0.45886433344812066,0.6463315926834579,0.847855991264863,C11orf54
GALNT9,31.346557582031014,-0.1876818235327185,0.40901459043395694,-0.4588633949062589,0.6463322667023124,0.847855991264863,GALNT9
MT-ND4,285881.12633083237,0.034821679979587045,0.075881545923005,0.4588952367275132,0.6463093994903251,0.847855991264863,MT-ND4
LZIC,475.32761971271293,-0.05723373577155715,0.12475296865379239,-0.4587765436699874,0.6463946406380836,0.8478561707502998,LZIC
RMDN1,964.1511527104127,-0.05270162376363948,0.11491788071062332,-0.4586024684561347,0.646519663683571,0.8479172530044241,RMDN1
TEC,191.6008552706809,-0.07458878160587794,0.1626663854894259,-0.4585383844453012,0.6465656921537075,0.8479172530044241,TEC
LINC02901,23.06971059595268,-0.24313690539584876,0.5307508678945465,-0.45809987341209013,0.646880689874055,0.8481776364580393,LINC02901
