Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
Signaling By GPCR R-HSA-372790,3/689,0.4597143619997872,0.5267560397914228,1.4024701742867987,1.0899296041469257,PIK3R3;PTAFR;VIPR1
Disorders Of Transmembrane Transporters R-HSA-5619115,1/176,0.4749054788251942,0.5409728578095847,2.3422222222222224,1.744111153283473,ABCA12
Transport Of Small Molecules R-HSA-382551,3/706,0.47605611487243454,0.5409728578095847,1.3661971830985915,1.0140182493129482,SLC15A2;AQP3;ABCA12
RAC1 GTPase Cycle R-HSA-9013149,1/178,0.47876813654547523,0.5418157923868546,2.3153802816901408,1.7053675440688392,PIK3R3
G2/M Transition R-HSA-69275,1/182,0.4864106295420911,0.5482087013281763,2.263471074380165,1.6312883454352216,CDKN1A
Mitotic G2-G2/M Phases R-HSA-453274,1/184,0.49019084934689283,0.5502142186546757,2.2383651226158037,1.5958658615928019,CDKN1A
GPCR Ligand Binding R-HSA-500792,2/458,0.4990057149235681,0.5578315918861025,1.4997224264430074,1.042513643962872,PTAFR;VIPR1
Adaptive Immune System R-HSA-1280218,3/733,0.5015799373843589,0.5584392015412902,1.3120571478150216,0.9053093130185516,PIK3R3;RAPGEF4;CD22
TCF Dependent Signaling In Response To WNT R-HSA-201681,1/198,0.5159041693027371,0.5720711554768254,2.076860759493671,1.3745375813567362,DACT1
Interferon Signaling R-HSA-913531,1/200,0.5194728348826658,0.5737149782840687,2.055639097744361,1.3463218344014174,PTAFR
Innate Immune System R-HSA-168249,4/1035,0.5244841857706436,0.5745901119344834,1.1912369069948787,0.7687528287255024,NANOS1;MUC19;PTAFR;FOS
Signaling By NOTCH R-HSA-157118,1/203,0.5247778513314315,0.5745901119344834,2.0245925925925925,1.3054173104294893,ACTA2
Transcriptional Regulation By RUNX1 R-HSA-8878171,1/204,0.5265334843908721,0.5745901119344834,2.0144471744471746,1.2921477033474704,THBS1
Metabolism Of Proteins R-HSA-392499,7/1890,0.5404022389181627,0.5873937379545247,1.0831531975678512,0.666617460950196,GALNT5;MUC19;PLA2G7;IGFBP3;THBS1;MRPL53;ANK1
Post-translational Protein Modification R-HSA-597592,5/1383,0.5742309214227467,0.6217067062647849,1.0806522339337048,0.5994633639447033,GALNT5;MUC19;THBS1;IGFBP3;ANK1
Chromatin Modifying Enzymes R-HSA-3247509,1/238,0.5826079266354501,0.628302665979407,1.7203368421052632,0.9293962016130062,ARID5B
Transmission Across Chemical Synapses R-HSA-112315,1/246,0.5948306651974066,0.6356270941862253,1.6629735234215886,0.8638790085299143,SH2D3C
SLC-mediated Transmembrane Transport R-HSA-425407,1/247,0.5963337829092586,0.6356270941862253,1.6560649087221095,0.856110588150743,SLC15A2
Leishmania Infection R-HSA-9658195,1/247,0.5963337829092586,0.6356270941862253,1.6560649087221095,0.856110588150743,VIPR1
Cell Cycle Checkpoints R-HSA-69620,1/271,0.6308226594835729,0.6697923990655696,1.5055822550831792,0.693667669269569,CDKN1A
Organelle Biogenesis And Maintenance R-HSA-1852241,1/275,0.6362846723936474,0.6729934034932809,1.4830601092896174,0.6705051457847466,NR1D1
Translation R-HSA-72766,1/281,0.6443304466533912,0.6776907412379277,1.4504812834224599,0.6375497194382198,MRPL53
Asparagine N-linked Glycosylation R-HSA-446203,1/282,0.6456544516521348,0.6776907412379277,1.4451865008880995,0.6322558314817763,ANK1
Signaling By WNT R-HSA-195721,1/294,0.6611729535439579,0.6913405407779027,1.3844633730834752,0.5728076253610018,DACT1
